Onyx Spirit of Ra	Power Shot,Poisonous Projectiles,Poison Bomb,Bomb Damage+,Regenerating Ammo,Bomb Reload+	Legendary
Onyx Spirit of Set	Power Shot,Ice Projectiles,Ice Bomb,Bomb Damage+,Regenerating Ammo,Bomb Reload+	Legendary
Onyx Spirit of Shen	Regenerating Ammo,Regenerating Health,Treasure Hunter,Supply Hunter,Power Shot,Bomb Reload+	Legendary
Onyx Spirit of Sobek	Power Shot,Fire Projectiles,Fire Bomb,Bomb Damage+,Regenerating Ammo,Bomb Reload+	Legendary
Osiris's Gold Ankh	Power Shot,Bomb Damage+,Leech Magic Projectiles,Leech Bomb,Regenerating Ammo	Epic
Osiris's Gold Fire Crook and Flail	Power Shot,Bomb Damage+,Fire Projectiles,Fire Bomb,Regenerating Ammo	Epic
Osiris's Gold Ice Crook and Flail	Power Shot,Bomb Damage+,Ice Projectiles,Ice Bomb,Regenerating Ammo	Epic
Osiris's Gold Poison Crook and Flail	Power Shot,Bomb Damage+,Poisonous Projectiles,Poison Bomb,Regenerating Ammo	Epic
Osiris's Silver Ankh Flail	Power Shot,Scatter Shot,Leech Magic Projectiles,Leech Bomb	Rare
Osiris's Silver Fire Flail	Power Shot,Scatter Shot,Fire Projectiles,Fire Bomb	Challenge Reward (Tomb of the Embalmer DLC)
Osiris's Silver Flail	Power Shot,Scatter Shot,Regenerating Ammo,Regenerating Health	Rare
Osiris's Silver Ice Flail	Power Shot,Scatter Shot,Ice Projectiles,Ice Bomb	Rare
Osiris's Silver Poison Flail	Power Shot,Scatter Shot,Poisonous Projectiles,Poison Bomb	Rare
Osiris's Silver Spirit	Power Shot,Scatter Shot,Bomb Reload+,Regenerating Ammo	Rare
Sekhmet's Wrath	Regenerating Ammo,Bomb Reload+,Bomb Damage+,Fire Bomb,Explosive Projectiles	Challenge Reward (Twisted Gears DLC)
Set's Gold Crook and Flail	Power Shot,Bomb Damage+,Bomb Reload+,Regenerating Ammo,Regenerating Health	Epic
Set's Silver Ankh Crook and Flail	Power Shot,Bomb Damage+,Leech Magic Projectiles,Leech Bomb	Rare
Set's Silver Crook and Flail	Power Shot,Bomb Damage+,Regenerating Ammo,Regenerating Health	Rare
Set's Silver Fire Crook and Flail	Power Shot,Bomb Damage+,Fire Projectiles,Fire Bomb	Rare
Set's Silver Flail**	Power Shot,Leech Bomb,Scatter Shot,Regenerating Health	Community Challenge Reward
Set's Silver Ice Crook and Flail	Power Shot,Bomb Damage+,Ice Projectiles,Ice Bomb	Rare
Set's Silver Spirit	Power Shot,Bomb Reload+,Regenerating Ammo,Regenerating Health	Rare
Silver Ankh Spirit of Heb	Regenerating Health,Regenerating Ammo,Leech Magic Projectiles,Leech Bomb	Rare
Silver Feet of Osiris	Bomb Reload+,Scatter Shot,Bomb Damage+,Power Shot	Rare
Silver Fire Spirit of Heb	Regenerating Health,Regenerating Ammo,Fire Projectiles,Fire Bomb	Rare
Silver Ice Spirit of Heb	Regenerating Health,Regenerating Ammo,Ice Projectiles,Ice Bomb	Rare
Silver Jeweled Scarab Fetish	Treasure Hunter,Supply Hunter,Regenerating Ammo,Regenerating Health	Rare
Silver Poison Spirit of Heb	Regenerating Health,Regenerating Ammo,Poisonous Projectiles,Poison Bomb	Rare
Silver Spirit of Shen	Regenerating Ammo,Scatter Shot,Bomb Damage+,Weapon Damage+	Rare
