Agent Ring 	Weapon Damage+,Bomb Damage+ 	Hitman DLC
Copper Ring of Osiris 	Magic Shield Life+ 	Uncommon
Copper Ring of Protection 	Defense+ 	Challenge Reward (Sunken Chapel of Sobek)
Copper Ring of Rage 	Rate of Fire+ 	Season Pass DLC
Copper Ring of Reach 	Bomb Radius+ 	Uncommon
Copper Ring of Strength 	Weapon Damage+ 	Common
Drowned Bronze Ring of Strength 	Weapon Damage+,Defense+,Bomb Radius+,Rainy weather only 	Uncommon
Frosted Bronze Ring of Khet 	Fire Resistance,Poison Resistance,Explosive Resistance,Weakness to Cold 	Uncommon
Frosted Copper Ring of Reach 	Bomb Radius+,Fire Resistance,Weakness to Cold 	Uncommon
Frosted Iron Ring of Khet 	Fire Resistance,Weakness to Cold 	Common
Frozen Band of Set's Favor 	Torch Range+,Magic Shield Life+,Rate of Fire+,Weapon Damage+,Ice Armor 	Challenge Reward (Icy Death DLC)
Frozen Bronze Ring of Protection 	Defense+,Bomb Radius+,Speed+,Cold Weather Only 	Uncommon
Frozen Bronze Ring of Strength 	Weapon Damage+,Defense+,Bomb Radius+,Cold Weather Only 	Uncommon
Frozen Mark of Set's Ascetic 	Cold Resistance,Defense+,Speed+,Ammo Efficiency+,10% Cheaper Items 	Challenge Reward (Icy Death DLC)
Gold Ring of Protection 	Weapon Damage+,Speed+,Explosive Resistance,Torch Range+,Magic Shield Life+ 	Legendary
Gold Ring of Set 	Cold Resistance,Fire Resistance,Poison Resistance,Lightning Resistance,Explosive Resistance 	Legendary
Gold Ring of Strength 	Weapon Damage+,Bomb Radius+,Speed+,Ammo Efficiency+,Rate of Fire+ 	Legendary
Legend Ring 	Regenerating Health,Torch Range+ 	Lara Croft Legend DLC
Lost Ring of Bes 	The Curse of Bes (Big Head Mode) 	Community Challenge Reward
Moonlit Bronze Ring of Protection 	Defense+,Bomb Radius+,Speed+,Nighttime Only 	Uncommon
Moonlit Bronze Ring of Strength 	Weapon Damage+,Defense+,Bomb Radius+,Nighttime Only 	Uncommon
Moonlit Copper Ring of Strength 	Weapon Damage+,Speed+,Nighttime Only 	Uncommon
Moonlit Iron Ring of Rage 	Rate of Fire+,Nighttime Only 	Challenge Reward (Tomb of the Silversmith)
Restricted Bronze Ring of Protection 	Defense+,Torch Range+,Magic Shield Life+,Bomb Radius- 	Uncommon
Restricted Bronze Ring of Serket 	Poison Resistance,Lightning Resistance,Explosive Resistance,Bomb Radius- 	Rare
Restricted Bronze Ring of Strength 	Weapon Damage+,Speed+,Ammo Efficiency+,Bomb Radius- 	Uncommon
Restricted Copper Ring of Haste 	Speed+,Weapon Damage+,Bomb Radius- 	Challenge Reward (Tomb of the Ferryman)
Restricted Copper Ring of Rage 	Rate of Fire+,Ammo Efficiency+,Bomb Radius- 	Uncommon
Restricted Copper Ring of Strength 	Weapon Damage+,Defense+,Bomb Radius- 	Uncommon
Restricted Iron Ring of Abundance 	Ammo Efficiency+,Bomb Radius- 	Common
Restricted Iron Ring of Haste 	Speed+,Bomb Radius- 	Common
Restricted Iron Ring of Khepri 	Explosive Resistance,Bomb Radius- 	Common
Restricted Iron Ring of Protection 	Defense+,Bomb Radius- 	Challenge Reward (Tomb of the Silversmith)
Restricted Iron Ring of Rage 	Rate of Fire+,Bomb Radius- 	Common
Restricted Iron Ring of Strength 	Weapon Damage+,Bomb Radius- 	Common
Sekhmet's Blessing 	Explosive Resistance,Fire Resistance,Defense+,Speed+,Ammo Efficiency+ 	Score Reward (Twisted Gears DLC)
Sekhmet's Retribution 	Weapon Damage+,Bomb Radius+,Rate of Fire+,10% Cheaper Items,Reactive Armor 	Challenge Reward (Twisted Gears DLC)
Shocked Iron Ring of Serket 	Poison Resistance,Weakness to Lightning 	Common
Sick Bronze Ring of Set 	Cold Resistance,Fire Resistance,Explosive Resistance,Weakness to Poison 	Uncommon
Silver Ring of Abundance 	Ammo Efficiency+,Bomb Radius+,Weapon Damage+,Rate of Fire+ 	Challenge Reward (Tomb of Set)
Silver Ring of Haste 	Speed+,Defense+,Torch Range+,Magic Shield Life+ 	Rare
Silver Ring of Khet 	Fire Resistance,Defense+,Speed+,Weapon Damage+ 	Rare
Silver Ring of Light 	Poison Resistance,Lightning Resistance 	Community Challenge Reward
Silver Ring of Protection 	Defense+,Cold Resistance,Fire Resistance,Poison Resistance 	Rare
Silver Ring of Rage 	Rate of Fire+,Bomb Radius+,Weapon Damage+,Fire Resistance 	Rare
Silver Ring of Reach 	Bomb Radius+,Defense+,Cold Resistance,Fire Resistance 	Rare
Silver Ring of Serket 	Poison Resistance,Fire Resistance,Cold Resistance,Lightning Resistance 	Rare
Silver Ring of Set 	Cold Resistance,Fire Resistance,Poison Resistance,Explosive Resistance 	Rare
Silver Ring of Sobek 	Lightning Resistance,Speed+,Weapon Damage+,Poison Resistance 	Rare
Silver Ring of Strength 	Weapon Damage+,Bomb Radius+,Defense+,Speed+ 	Rare
Solar Bronze Ring of Strength 	Weapon Damage+,Defense+,Bomb Radius+,Daytime Only 	Uncommon
Solar Copper Ring of Strength 	Weapon Damage+,Bomb Radius+,Daytime Only 	Challenge Reward (Tomb of the Ferryman)
Solar Iron Ring of Rage 	Rate of Fire+,Daytime Only 	Common
Summer Bronze Ring of Rage 	Rate of Fire+,Weapon Damage+,Ammo Efficiency+,Daytime or Rainy Only 	Uncommon
Summer Bronze Ring of Strength 	Weapon Damage+,Bomb Radius+,Ammo Efficiency+,Daytime or Rainy Only 	Uncommon
Summer Copper Ring of Protection 	Defense+,Speed+,Daytime or Rainy Only 	Challenge Reward (Tomb of the Lamplighter)
Summer Copper Ring of Rage 	Rate of Fire+,Weapon Damage+,Daytime or Rainy Only 	Uncommon
Summer Copper Ring of Strength 	Weapon Damage+,Defense+,Daytime or Rainy Only 	Uncommon
Vulnerable Bronze Ring of Abundance 	Ammo Efficiency+,Speed+,Weapon Damage+,Defense- 	Challenge Reward (Tomb of the Torturer)
Vulnerable Bronze Ring of Haste 	Speed+,Torch Range+,Magic Shield Life+,Defense- 	Rare
Vulnerable Bronze Ring of Strength 	Weapon Damage+,Rate of Fire+,Ammo Efficiency+,Defense- 	Rare
Vulnerable Copper Ring of Reach 	Bomb Radius+,Explosive Resistance,Defense- 	Season Pass DLC
Vulnerable Copper Ring of Strength 	Weapon Damage+,Bomb Radius+,Defense- 	Uncommon
Vulnerable Iron Ring of Abundance 	Ammo Efficiency+,Defense- 	Common
Vulnerable Iron Ring of Haste 	Speed+,Defense- 	Challenge Reward (Tomb of the Timekeeper)
Vulnerable Iron Ring of Reach 	Bomb Radius+,Defense- 	Challenge Reward (Tomb of the Timekeeper)
Vulnerable Iron Ring of Set 	Cold Resistance,Defense- 	Common
Vulnerable Iron Ring of Strength 	Weapon Damage+,Defense- 	Pick-up
Weakened Bronze Ring of Haste 	Speed+,Torch Range+,Magic Shield Life+,Weapon Damage- 	Rare
Weakened Bronze Ring of Protection 	Defense+,Torch Range+,Magic Shield Life+,Weapon Damage- 	Uncommon
Weakened Bronze Ring of Reach 	Defense+,Bomb Radius+,Rate of Fire+,Weapon Damage- 	Uncommon
Weakened Bronze Ring of Set 	Cold Resistance,Fire Resistance,Poison Resistance,Weapon Damage- 	Challenge Reward (Tomb of the Torturer)
Weakened Copper Ring of Protection 	Defense+,Speed+,Weapon Damage- 	Uncommon
Weakened Copper Ring of Reach 	Bomb Radius+,Speed+,Weapon Damage- 	Challenge Reward (Tomb of the Lamplighter)
Weakened Copper Ring of Serket 	Poison Resistance,Defense+,Weapon Damage- 	Uncommon
Weakened Iron Ring of Khepri 	Explosive Resistance,Weapon Damage- 	Challenge Reward (Pyramid of Osiris)
Weakened Iron Ring of Khet 	Fire Resistance,Weapon Damage- 	Season Pass DLC
Weakened Iron Ring of Protection 	Defense+,Weapon Damage- 	Common
Weakened Iron Ring of Reach 	Bomb Radius+,Weapon Damage- 	Challenge Reward (Tomb of the Timekeeper)
Winter Bronze Ring of Protection 	Defense+,Cold Resistance,Fire Resistance,Night or Cold Weather 	Uncommon
Winter Bronze Ring of Strength 	Weapon Damage+,Bomb Radius+,Ammo Efficiency+,Night or Cold Weather Only 	Uncommon
Winter Copper Ring of Abundance 	Ammo Efficiency +,Weapon Damage+,Night or Cold Weather 	Season Pass DLC
Winter Copper Ring of Strength 	Weapon Damage+,Defense+,Night or Cold Weather 	Uncommon
